Time,Channel A,D0,D1,D2,D3,D4,D5,D6,D7,RW,PHI
(us),(mV),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary),(Binary)

3.42399990,0.15748030,0,0,0,0,0,1,0,0,1,0
3.43999990,0.00000000,0,0,0,0,0,1,0,0,1,0
3.45599990,0.00000000,0,0,0,0,0,1,0,0,1,0
3.47199990,0.15748030,0,0,0,0,0,1,0,0,1,0
3.48799990,0.15748030,0,0,0,0,0,1,0,0,1,0
3.50399990,0.00000000,0,0,0,0,0,1,0,0,1,1
3.51999990,0.15748030,0,0,0,0,0,1,0,0,1,1
3.53599990,0.15748030,0,0,0,0,0,1,0,0,1,1
3.55199990,0.00000000,0,0,0,0,0,1,0,0,1,1
3.56799990,-0.15748030,0,0,0,0,0,1,0,0,1,1
3.58399990,0.00000000,0,0,0,0,0,1,1,0,1,1
3.59999990,0.15748030,0,0,0,0,0,1,1,0,1,1
3.61599990,0.15748030,0,0,0,0,0,1,1,0,1,1
3.63199990,-0.31557580,0,0,0,0,0,1,1,0,1,1
3.64799990,-0.15748030,0,0,0,0,0,1,1,0,1,1
3.66399990,0.15748030,0,0,0,0,0,1,1,0,1,1
3.67999990,0.15748030,0,0,0,0,0,1,1,0,1,1
3.69599990,0.00000000,0,0,0,0,0,1,1,0,1,1
3.71199990,0.15748030,0,0,0,0,0,1,1,0,1,1
3.72799989,0.15748030,0,0,0,0,0,1,1,0,1,1
3.74399989,0.15748030,0,0,0,0,0,1,1,0,1,1
3.75999989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.77599989,0.15748030,0,0,0,0,0,1,1,0,1,0
3.79199989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.80799989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.82399989,0.15748030,0,0,0,0,0,1,1,0,1,0
3.83999989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.85599989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.87199989,-0.31557580,0,0,0,0,0,1,1,0,1,0
3.88799989,0.15748030,0,0,0,0,0,1,1,0,1,0
3.90399989,0.15748030,0,0,0,0,0,1,1,0,1,0
3.91999989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.93599989,0.15748030,0,0,0,0,0,1,1,0,1,0
3.95199989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.96799989,0.00000000,0,0,0,0,0,1,1,0,1,0
3.98399989,-0.15748030,0,0,0,0,0,1,1,0,1,0
3.99999989,0.00000000,0,0,0,0,0,1,1,0,1,0
4.01599989,0.15748030,0,0,0,0,0,1,1,0,1,1
4.03199989,0.15748030,0,0,0,0,0,1,1,0,1,1
4.04799989,0.00000000,0,0,0,0,0,1,1,0,1,1
4.06399989,0.00000000,0,0,0,0,0,1,1,0,1,1
4.07999988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.09599988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.11199988,0.15748030,0,0,0,0,0,1,0,0,1,1
4.12799988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.14399988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.15999988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.17599988,0.15748030,0,0,0,0,0,1,0,0,1,1
4.19199988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.20799988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.22399988,0.00000000,0,0,0,0,0,1,0,0,1,1
4.23999988,0.31557580,1,0,1,0,0,1,1,1,1,1
4.25599988,0.15748030,1,0,1,0,0,1,1,1,1,0
4.27199988,0.15748030,1,0,1,0,0,1,1,1,1,0
4.28799988,0.15748030,1,0,1,0,0,1,1,1,1,0
4.30399988,0.00000000,1,0,1,0,0,1,1,1,1,0
4.31999988,0.00000000,1,0,1,0,0,1,1,1,1,0
4.33599988,0.15748030,1,0,1,0,0,1,1,1,1,0
4.35199988,0.15748030,1,0,1,0,0,1,1,1,0,0
4.36799988,0.00000000,1,0,1,0,0,1,1,1,0,0
4.38399988,0.00000000,1,0,1,0,0,1,1,1,0,0
4.39999988,0.15748030,1,0,1,0,0,1,1,1,0,0
4.41599988,0.31557580,1,0,1,0,0,1,1,1,0,0
4.43199987,-0.31557580,1,0,1,0,0,1,1,1,0,0
4.44799987,0.15748030,1,0,1,0,0,1,1,1,0,0
4.46399987,0.15748030,1,0,1,0,0,1,1,1,0,0
4.47999987,0.00000000,1,0,1,0,0,1,1,1,0,0
4.49599987,-0.15748030,1,0,1,0,0,1,1,1,0,0
4.51199987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.52799987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.54399987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.55999987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.57599987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.59199987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.60799987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.62399987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.63999987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.65599987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.67199987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.68799987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.70399987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.71999987,0.00000000,1,0,1,0,0,1,1,1,0,1
4.73599987,0.15748030,1,0,1,0,0,1,1,1,0,1
4.75199987,0.15748030,1,0,1,0,0,1,1,1,0,0
4.76799987,-0.15748030,1,0,1,0,0,1,1,1,0,0
4.78399986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.79999986,0.15748030,1,0,1,0,0,1,1,1,0,0
4.81599986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.83199986,0.00000000,1,0,1,0,0,1,1,1,0,0
4.84799986,0.15748030,1,0,1,0,0,1,1,1,0,0
4.86399986,0.15748030,1,0,1,0,0,1,1,1,0,0
